#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 01 30 08 45 00 1 4594.689
2022 01 30 08 30 00 1 4594.685
2022 01 30 08 15 00 1 4594.673
2022 01 30 08 00 00 1 4594.656
2022 01 30 07 45 00 1 4594.634
2022 01 30 07 30 00 1 4594.606
2022 01 30 07 15 00 1 4594.575
2022 01 30 07 00 00 1 4594.543
2022 01 30 06 45 00 1 4594.509
2022 01 30 06 30 00 1 4594.473
2022 01 30 06 15 00 1 4594.438
2022 01 30 06 00 00 1 4594.403
2022 01 30 05 45 00 1 4594.370
2022 01 30 05 30 00 1 4594.339
2022 01 30 05 15 00 1 4594.312
2022 01 30 05 00 00 1 4594.290
2022 01 30 04 45 00 1 4594.272
2022 01 30 04 30 00 1 4594.258
2022 01 30 04 15 00 1 4594.252
2022 01 30 04 00 00 1 4594.254
2022 01 30 03 45 00 1 4594.261
2022 01 30 03 30 00 1 4594.277
2022 01 30 03 15 00 1 4594.299
2022 01 30 03 00 00 1 4594.327
2022 01 30 02 45 00 1 4594.361
2022 01 30 02 30 00 1 4594.406
2022 01 30 02 15 00 1 4594.456
2022 01 30 02 00 00 1 4594.513
2022 01 30 01 45 00 1 4594.572
2022 01 30 01 30 00 1 4594.636
2022 01 30 01 15 00 1 4594.704
2022 01 30 01 00 00 1 4594.771
2022 01 30 00 45 00 1 4594.841
2022 01 30 00 30 00 1 4594.909
2022 01 30 00 15 00 1 4594.974
2022 01 30 00 00 00 1 4595.039
2022 01 29 23 45 00 1 4595.100
2022 01 29 23 30 00 1 4595.158
2022 01 29 23 15 00 1 4595.208
2022 01 29 23 00 00 1 4595.252
2022 01 29 22 45 00 1 4595.287
2022 01 29 22 30 00 1 4595.319
2022 01 29 22 15 00 1 4595.340
2022 01 29 22 00 00 1 4595.352
2022 01 29 21 45 00 1 4595.359
2022 01 29 21 30 00 1 4595.353
2022 01 29 21 15 00 1 4595.335
2022 01 29 21 00 00 1 4595.311
2022 01 29 20 45 00 1 4595.279
2022 01 29 20 30 00 1 4595.234
2022 01 29 20 15 00 1 4595.180
2022 01 29 20 00 00 1 4595.117
2022 01 29 19 45 00 1 4595.048
2022 01 29 19 30 00 1 4594.973
2022 01 29 19 15 00 1 4594.891
2022 01 29 19 00 00 1 4594.806
2022 01 29 18 45 00 1 4594.717
2022 01 29 18 30 00 1 4594.628
2022 01 29 18 15 00 1 4594.536
2022 01 29 18 00 00 1 4594.445
2022 01 29 17 45 00 1 4594.353
2022 01 29 17 30 00 1 4594.266
2022 01 29 17 15 00 1 4594.181
2022 01 29 17 00 00 1 4594.099
2022 01 29 16 45 00 1 4594.022
2022 01 29 16 30 00 1 4593.950
2022 01 29 16 15 00 1 4593.882
2022 01 29 16 00 00 1 4593.826
2022 01 29 15 45 00 1 4593.778
2022 01 29 15 30 00 1 4593.737
2022 01 29 15 15 00 1 4593.703
2022 01 29 15 00 00 1 4593.679
2022 01 29 14 45 00 1 4593.662
2022 01 29 14 30 00 1 4593.654
2022 01 29 14 15 00 1 4593.658
2022 01 29 14 00 00 1 4593.669
2022 01 29 13 45 00 1 4593.691
2022 01 29 13 30 00 1 4593.721
2022 01 29 13 15 00 1 4593.756
2022 01 29 13 00 00 1 4593.798
2022 01 29 12 45 00 1 4593.849
2022 01 29 12 30 00 1 4593.901
2022 01 29 12 15 00 1 4593.960
2022 01 29 12 00 00 1 4594.020
2022 01 29 11 45 00 1 4594.082
2022 01 29 11 30 00 1 4594.141
2022 01 29 11 15 00 1 4594.202
2022 01 29 11 00 00 1 4594.261
2022 01 29 10 45 00 1 4594.320
2022 01 29 10 30 00 1 4594.376
2022 01 29 10 15 00 1 4594.429
2022 01 29 10 00 00 1 4594.477
2022 01 29 09 45 00 1 4594.522
2022 01 29 09 30 00 1 4594.563
2022 01 29 09 15 00 1 4594.597
2022 01 29 09 00 00 1 4594.626
2022 01 29 08 45 00 1 4594.649
2022 01 29 08 30 00 1 4594.667
2022 01 29 08 15 00 1 4594.677
2022 01 29 08 00 00 1 4594.680
2022 01 29 07 45 00 1 4594.677
2022 01 29 07 30 00 1 4594.668
2022 01 29 07 15 00 1 4594.654
2022 01 29 07 00 00 1 4594.636
2022 01 29 06 45 00 1 4594.614
2022 01 29 06 30 00 1 4594.591
2022 01 29 06 15 00 1 4594.565
2022 01 29 06 00 00 1 4594.537
2022 01 29 05 45 00 1 4594.510
2022 01 29 05 30 00 1 4594.484
2022 01 29 05 15 00 1 4594.458
2022 01 29 05 00 00 1 4594.433
2022 01 29 04 45 00 1 4594.411
2022 01 29 04 30 00 1 4594.392
2022 01 29 04 15 00 1 4594.376
2022 01 29 04 00 00 1 4594.365
2022 01 29 03 45 00 1 4594.356
2022 01 29 03 30 00 1 4594.356
2022 01 29 03 15 00 1 4594.358
2022 01 29 03 00 00 1 4594.366
2022 01 29 02 45 00 1 4594.380
2022 01 29 02 30 00 1 4594.400
2022 01 29 02 15 00 1 4594.426
2022 01 29 02 00 00 1 4594.457
2022 01 29 01 45 00 1 4594.494
2022 01 29 01 30 00 1 4594.538
2022 01 29 01 15 00 1 4594.584
2022 01 29 01 00 00 1 4594.633
2022 01 29 00 45 00 1 4594.687
2022 01 29 00 30 00 1 4594.742
2022 01 29 00 15 00 1 4594.800
2022 01 29 00 00 00 1 4594.856
2022 01 28 23 45 00 1 4594.914
2022 01 28 23 30 00 1 4594.968
2022 01 28 23 15 00 1 4595.021
2022 01 28 23 00 00 1 4595.070
2022 01 28 22 45 00 1 4595.114
2022 01 28 22 30 00 1 4595.152
2022 01 28 22 15 00 1 4595.185
2022 01 28 22 00 00 1 4595.210
2022 01 28 21 45 00 1 4595.231
2022 01 28 21 30 00 1 4595.244
2022 01 28 21 15 00 1 4595.250
2022 01 28 21 00 00 1 4595.247
2022 01 28 20 45 00 1 4595.237
2022 01 28 20 30 00 1 4595.219
2022 01 28 20 15 00 1 4595.192
2022 01 28 20 00 00 1 4595.160
2022 01 28 19 45 00 1 4595.120
2022 01 28 19 30 00 1 4595.071
2022 01 28 19 15 00 1 4595.016
2022 01 28 19 00 00 1 4594.957
2022 01 28 18 45 00 1 4594.890
2022 01 28 18 30 00 1 4594.819
2022 01 28 18 15 00 1 4594.741
2022 01 28 18 00 00 1 4594.660
2022 01 28 17 45 00 1 4594.579
2022 01 28 17 30 00 1 4594.499
2022 01 28 17 15 00 1 4594.421
2022 01 28 17 00 00 1 4594.345
2022 01 28 16 45 00 1 4594.270
2022 01 28 16 30 00 1 4594.198
2022 01 28 16 15 00 1 4594.129
2022 01 28 16 00 00 1 4594.066
2022 01 28 15 45 00 1 4594.004
2022 01 28 15 30 00 1 4593.952
2022 01 28 15 15 00 1 4593.904
2022 01 28 15 00 00 1 4593.863
2022 01 28 14 45 00 1 4593.830
2022 01 28 14 30 00 1 4593.802
2022 01 28 14 15 00 1 4593.784
2022 01 28 14 00 00 1 4593.772
2022 01 28 13 45 00 1 4593.771
2022 01 28 13 30 00 1 4593.775
2022 01 28 13 15 00 1 4593.788
2022 01 28 13 00 00 1 4593.809
2022 01 28 12 45 00 1 4593.836
2022 01 28 12 30 00 1 4593.870
2022 01 28 12 15 00 1 4593.909
2022 01 28 12 00 00 1 4593.953
2022 01 28 11 45 00 1 4594.000
2022 01 28 11 30 00 1 4594.049
2022 01 28 11 15 00 1 4594.101
2022 01 28 11 00 00 1 4594.153
2022 01 28 10 45 00 1 4594.207
2022 01 28 10 30 00 1 4594.261
2022 01 28 10 15 00 1 4594.312
2022 01 28 10 00 00 1 4594.363
2022 01 28 09 45 00 1 4594.413
2022 01 28 09 30 00 1 4594.459
2022 01 28 09 15 00 1 4594.503
2022 01 28 09 00 00 1 4594.544
2022 01 28 08 45 00 1 4594.580
2022 01 28 08 30 00 1 4594.612
2022 01 28 08 15 00 1 4594.640
2022 01 28 08 00 00 1 4594.659
2022 01 28 07 45 00 1 4594.675
2022 01 28 07 30 00 1 4594.685
2022 01 28 07 15 00 1 4594.690
2022 01 28 07 00 00 1 4594.690
2022 01 28 06 45 00 1 4594.684
2022 01 28 06 30 00 1 4594.674
2022 01 28 06 15 00 1 4594.660
2022 01 28 06 00 00 1 4594.643
2022 01 28 05 45 00 1 4594.624
2022 01 28 05 30 00 1 4594.605
2022 01 28 05 15 00 1 4594.582
2022 01 28 05 00 00 1 4594.559
2022 01 28 04 45 00 1 4594.538
2022 01 28 04 30 00 1 4594.517
2022 01 28 04 15 00 1 4594.496
2022 01 28 04 00 00 1 4594.479
2022 01 28 03 45 00 1 4594.463
2022 01 28 03 30 00 1 4594.450
2022 01 28 03 15 00 1 4594.441
2022 01 28 03 00 00 1 4594.436
2022 01 28 02 45 00 1 4594.435
2022 01 28 02 30 00 1 4594.436
2022 01 28 02 15 00 1 4594.441
2022 01 28 02 00 00 1 4594.449
2022 01 28 01 45 00 1 4594.464
2022 01 28 01 30 00 1 4594.484
2022 01 28 01 15 00 1 4594.506
2022 01 28 01 00 00 1 4594.531
2022 01 28 00 45 00 1 4594.562
2022 01 28 00 30 00 1 4594.597
2022 01 28 00 15 00 1 4594.635
2022 01 28 00 00 00 1 4594.674
2022 01 27 23 45 00 1 4594.715
2022 01 27 23 30 00 1 4594.758
2022 01 27 23 15 00 1 4594.799
2022 01 27 23 00 00 1 4594.840
2022 01 27 22 45 00 1 4594.879
2022 01 27 22 30 00 1 4594.917
2022 01 27 22 15 00 1 4594.952
2022 01 27 22 00 00 1 4594.984
2022 01 27 21 45 00 1 4595.010
2022 01 27 21 30 00 1 4595.034
2022 01 27 21 15 00 1 4595.053
2022 01 27 21 00 00 1 4595.065
2022 01 27 20 45 00 1 4595.071
2022 01 27 20 30 00 1 4595.072
2022 01 27 20 15 00 1 4595.068
2022 01 27 20 00 00 1 4595.056
2022 01 27 19 45 00 1 4595.039
2022 01 27 19 30 00 1 4595.016
2022 01 27 19 15 00 1 4594.988
2022 01 27 19 00 00 1 4594.954
2022 01 27 18 45 00 1 4594.915
2022 01 27 18 30 00 1 4594.871
2022 01 27 18 15 00 1 4594.823
2022 01 27 18 00 00 1 4594.768
2022 01 27 17 45 00 1 4594.711
2022 01 27 17 30 00 1 4594.651
2022 01 27 17 15 00 1 4594.588
2022 01 27 17 00 00 1 4594.525
2022 01 27 16 45 00 1 4594.463
2022 01 27 16 30 00 1 4594.401
2022 01 27 16 15 00 1 4594.340
2022 01 27 16 00 00 1 4594.282
2022 01 27 15 45 00 1 4594.229
2022 01 27 15 30 00 1 4594.175
2022 01 27 15 15 00 1 4594.128
2022 01 27 15 00 00 1 4594.083
2022 01 27 14 45 00 1 4594.044
2022 01 27 14 30 00 1 4594.009
2022 01 27 14 15 00 1 4593.976
2022 01 27 14 00 00 1 4593.951
2022 01 27 13 45 00 1 4593.932
2022 01 27 13 30 00 1 4593.920
2022 01 27 13 15 00 1 4593.915
2022 01 27 13 00 00 1 4593.916
2022 01 27 12 45 00 1 4593.922
2022 01 27 12 30 00 1 4593.935
2022 01 27 12 15 00 1 4593.952
2022 01 27 12 00 00 1 4593.974
2022 01 27 11 45 00 1 4594.001
2022 01 27 11 30 00 1 4594.034
2022 01 27 11 15 00 1 4594.070
2022 01 27 11 00 00 1 4594.109
2022 01 27 10 45 00 1 4594.149
2022 01 27 10 30 00 1 4594.192
2022 01 27 10 15 00 1 4594.234
2022 01 27 10 00 00 1 4594.276
2022 01 27 09 45 00 1 4594.319
2022 01 27 09 30 00 1 4594.362
2022 01 27 09 15 00 1 4594.403
2022 01 27 09 00 00 1 4594.442
2022 01 27 08 45 00 1 4594.480
2022 01 27 08 30 00 1 4594.515
2022 01 27 08 15 00 1 4594.549
2022 01 27 08 00 00 1 4594.580
2022 01 27 07 45 00 1 4594.608
2022 01 27 07 30 00 1 4594.631
2022 01 27 07 15 00 1 4594.651
2022 01 27 07 00 00 1 4594.666
2022 01 27 06 45 00 1 4594.676
2022 01 27 06 30 00 1 4594.681
2022 01 27 06 15 00 1 4594.684
2022 01 27 06 00 00 1 4594.683
2022 01 27 05 45 00 1 4594.681
2022 01 27 05 30 00 1 4594.678
2022 01 27 05 15 00 1 4594.671
2022 01 27 05 00 00 1 4594.663
2022 01 27 04 45 00 1 4594.651
2022 01 27 04 30 00 1 4594.639
2022 01 27 04 15 00 1 4594.625
2022 01 27 04 00 00 1 4594.610
2022 01 27 03 45 00 1 4594.595
2022 01 27 03 30 00 1 4594.581
2022 01 27 03 15 00 1 4594.567
2022 01 27 03 00 00 1 4594.554
2022 01 27 02 45 00 1 4594.544
2022 01 27 02 30 00 1 4594.534
2022 01 27 02 15 00 1 4594.528
2022 01 27 02 00 00 1 4594.524
2022 01 27 01 45 00 1 4594.523
2022 01 27 01 30 00 1 4594.526
2022 01 27 01 15 00 1 4594.530
2022 01 27 01 00 00 1 4594.536
2022 01 27 00 45 00 1 4594.547
2022 01 27 00 30 00 1 4594.559
2022 01 27 00 15 00 1 4594.575
2022 01 27 00 00 00 1 4594.594
2022 01 26 23 45 00 1 4594.616
2022 01 26 23 30 00 1 4594.640
2022 01 26 23 15 00 1 4594.663
2022 01 26 23 00 00 1 4594.689
2022 01 26 22 45 00 1 4594.717
2022 01 26 22 30 00 1 4594.742
2022 01 26 22 15 00 1 4594.766
2022 01 26 22 00 00 1 4594.790
2022 01 26 21 45 00 1 4594.813
2022 01 26 21 30 00 1 4594.833
2022 01 26 21 15 00 1 4594.851
2022 01 26 21 00 00 1 4594.866
2022 01 26 20 45 00 1 4594.880
2022 01 26 20 30 00 1 4594.890
2022 01 26 20 15 00 1 4594.897
2022 01 26 20 00 00 1 4594.900
2022 01 26 19 45 00 1 4594.898
2022 01 26 19 30 00 1 4594.892
2022 01 26 19 15 00 1 4594.881
2022 01 26 19 00 00 1 4594.866
2022 01 26 18 45 00 1 4594.848
2022 01 26 18 30 00 1 4594.826
2022 01 26 18 15 00 1 4594.800
2022 01 26 18 00 00 1 4594.769
2022 01 26 17 45 00 1 4594.736
2022 01 26 17 30 00 1 4594.703
2022 01 26 17 15 00 1 4594.665
2022 01 26 17 00 00 1 4594.625
2022 01 26 16 45 00 1 4594.583
2022 01 26 16 30 00 1 4594.537
2022 01 26 16 15 00 1 4594.489
2022 01 26 16 00 00 1 4594.441
2022 01 26 15 45 00 1 4594.396
2022 01 26 15 30 00 1 4594.351
2022 01 26 15 15 00 1 4594.308
2022 01 26 15 00 00 1 4594.268
2022 01 26 14 45 00 1 4594.229
2022 01 26 14 30 00 1 4594.195
2022 01 26 14 15 00 1 4594.163
2022 01 26 14 00 00 1 4594.135
2022 01 26 13 45 00 1 4594.110
2022 01 26 13 30 00 1 4594.090
2022 01 26 13 15 00 1 4594.072
2022 01 26 13 00 00 1 4594.061
2022 01 26 12 45 00 1 4594.054
2022 01 26 12 30 00 1 4594.051
2022 01 26 12 15 00 1 4594.050
2022 01 26 12 00 00 1 4594.055
2022 01 26 11 45 00 1 4594.065
2022 01 26 11 30 00 1 4594.080
2022 01 26 11 15 00 1 4594.097
2022 01 26 11 00 00 1 4594.116
2022 01 26 10 45 00 1 4594.140
2022 01 26 10 30 00 1 4594.168
2022 01 26 10 15 00 1 4594.199
2022 01 26 10 00 00 1 4594.231
2022 01 26 09 45 00 1 4594.266
2022 01 26 09 30 00 1 4594.301
2022 01 26 09 15 00 1 4594.337
2022 01 26 09 00 00 1 4594.371
2022 01 26 08 45 00 1 4594.407
2022 01 26 08 30 00 1 4594.441
2022 01 26 08 15 00 1 4594.476
2022 01 26 08 00 00 1 4594.510
2022 01 26 07 45 00 1 4594.542
2022 01 26 07 30 00 1 4594.572
2022 01 26 07 15 00 1 4594.599
2022 01 26 07 00 00 1 4594.625
2022 01 26 06 45 00 1 4594.647
2022 01 26 06 30 00 1 4594.666
2022 01 26 06 15 00 1 4594.683
2022 01 26 06 00 00 1 4594.697
2022 01 26 05 45 00 1 4594.708
2022 01 26 05 30 00 1 4594.716
2022 01 26 05 15 00 1 4594.723
2022 01 26 05 00 00 1 4594.727
2022 01 26 04 45 00 1 4594.727
2022 01 26 04 30 00 1 4594.727
2022 01 26 04 15 00 1 4594.723
2022 01 26 04 00 00 1 4594.716
2022 01 26 03 45 00 1 4594.709
2022 01 26 03 30 00 1 4594.700
2022 01 26 03 15 00 1 4594.688
2022 01 26 03 00 00 1 4594.676
2022 01 26 02 45 00 1 4594.664
2022 01 26 02 30 00 1 4594.650
2022 01 26 02 15 00 1 4594.637
2022 01 26 02 00 00 1 4594.625
2022 01 26 01 45 00 1 4594.613
2022 01 26 01 30 00 1 4594.603
2022 01 26 01 15 00 1 4594.593
2022 01 26 01 00 00 1 4594.584
2022 01 26 00 45 00 1 4594.578
2022 01 26 00 30 00 1 4594.571
2022 01 26 00 15 00 1 4594.567
2022 01 26 00 00 00 1 4594.567
2022 01 25 23 45 00 1 4594.567
2022 01 25 23 30 00 1 4594.568
2022 01 25 23 15 00 1 4594.572
2022 01 25 23 00 00 1 4594.575
2022 01 25 22 45 00 1 4594.581
2022 01 25 22 30 00 1 4594.588
2022 01 25 22 15 00 1 4594.599
2022 01 25 22 00 00 1 4594.608
2022 01 25 21 45 00 1 4594.618
2022 01 25 21 30 00 1 4594.628
2022 01 25 21 15 00 1 4594.638
2022 01 25 21 00 00 1 4594.648
2022 01 25 20 45 00 1 4594.659
2022 01 25 20 30 00 1 4594.667
2022 01 25 20 15 00 1 4594.674
2022 01 25 20 00 00 1 4594.681
2022 01 25 19 45 00 1 4594.686
2022 01 25 19 30 00 1 4594.690
2022 01 25 19 15 00 1 4594.690
2022 01 25 19 00 00 1 4594.688
2022 01 25 18 45 00 1 4594.685
2022 01 25 18 30 00 1 4594.679
2022 01 25 18 15 00 1 4594.670
2022 01 25 18 00 00 1 4594.658
2022 01 25 17 45 00 1 4594.644
2022 01 25 17 30 00 1 4594.630
2022 01 25 17 15 00 1 4594.613
2022 01 25 17 00 00 1 4594.593
2022 01 25 16 45 00 1 4594.573
2022 01 25 16 30 00 1 4594.551
2022 01 25 16 15 00 1 4594.526
2022 01 25 16 00 00 1 4594.502
2022 01 25 15 45 00 1 4594.475
2022 01 25 15 30 00 1 4594.445
2022 01 25 15 15 00 1 4594.416
2022 01 25 15 00 00 1 4594.386
2022 01 25 14 45 00 1 4594.356
2022 01 25 14 30 00 1 4594.328
2022 01 25 14 15 00 1 4594.302
2022 01 25 14 00 00 1 4594.275
2022 01 25 13 45 00 1 4594.253
2022 01 25 13 30 00 1 4594.232
2022 01 25 13 15 00 1 4594.213
2022 01 25 13 00 00 1 4594.198
2022 01 25 12 45 00 1 4594.184
2022 01 25 12 30 00 1 4594.175
2022 01 25 12 15 00 1 4594.165
2022 01 25 12 00 00 1 4594.161
2022 01 25 11 45 00 1 4594.159
2022 01 25 11 30 00 1 4594.159
2022 01 25 11 15 00 1 4594.162
2022 01 25 11 00 00 1 4594.167
2022 01 25 10 45 00 1 4594.178
2022 01 25 10 30 00 1 4594.190
2022 01 25 10 15 00 1 4594.205
2022 01 25 10 00 00 1 4594.224
2022 01 25 09 45 00 1 4594.244
2022 01 25 09 30 00 1 4594.267
2022 01 25 09 15 00 1 4594.292
2022 01 25 09 00 00 1 4594.319
2022 01 25 08 45 00 1 4594.347
2022 01 25 08 30 00 1 4594.378
2022 01 25 08 15 00 1 4594.408
2022 01 25 08 00 00 1 4594.439
2022 01 25 07 45 00 1 4594.471
2022 01 25 07 30 00 1 4594.502
2022 01 25 07 15 00 1 4594.534
2022 01 25 07 00 00 1 4594.563
2022 01 25 06 45 00 1 4594.596
2022 01 25 06 30 00 1 4594.625
