Date,Sydney (Hmax),Sydney (Hs)
2022-03-03 00:00:00,6.950,3.970
2022-03-03 01:00:00,7.110,4.241
2022-03-03 02:00:00,8.050,4.234
2022-03-03 03:00:00,7.830,4.033
2022-03-03 04:00:00,6.080,3.930
2022-03-03 05:00:00,6.630,4.243
2022-03-03 06:00:00,6.860,3.888
2022-03-03 07:00:00,7.370,4.021
2022-03-03 08:00:00,7.340,4.060
2022-03-03 09:00:00,8.820,4.338
2022-03-03 10:00:00,7.950,4.871

