#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 02 24 00 00 00 1 4952.097
2022 02 23 23 45 00 1 4952.115
2022 02 23 23 30 00 1 4952.129
2022 02 23 23 15 00 1 4952.138
2022 02 23 23 00 00 1 4952.143
2022 02 23 22 45 00 1 4952.141
2022 02 23 22 30 00 1 4952.133
2022 02 23 22 15 00 1 4952.120
2022 02 23 22 00 00 1 4952.101
2022 02 23 21 45 00 1 4952.079
2022 02 23 21 30 00 1 4952.053
2022 02 23 21 15 00 1 4952.022
2022 02 23 21 00 00 1 4951.985
2022 02 23 20 45 00 1 4951.948
2022 02 23 20 30 00 1 4951.909
2022 02 23 20 15 00 1 4951.865
2022 02 23 20 00 00 1 4951.819
2022 02 23 19 45 00 1 4951.771
2022 02 23 19 30 00 1 4951.720
2022 02 23 19 15 00 1 4951.671
2022 02 23 19 00 00 1 4951.623
2022 02 23 18 45 00 1 4951.577
2022 02 23 18 30 00 1 4951.533
2022 02 23 18 15 00 1 4951.495
2022 02 23 18 00 00 1 4951.459
2022 02 23 17 45 00 1 4951.425
2022 02 23 17 30 00 1 4951.401
2022 02 23 17 15 00 1 4951.380
2022 02 23 17 00 00 1 4951.365
2022 02 23 16 45 00 1 4951.354
2022 02 23 16 30 00 1 4951.348
2022 02 23 16 15 00 1 4951.348
2022 02 23 16 00 00 1 4951.354
2022 02 23 15 45 00 1 4951.365
2022 02 23 15 30 00 1 4951.381
2022 02 23 15 15 00 1 4951.401
2022 02 23 15 00 00 1 4951.425
2022 02 23 14 45 00 1 4951.454
2022 02 23 14 30 00 1 4951.490
2022 02 23 14 15 00 1 4951.530
2022 02 23 14 00 00 1 4951.571
2022 02 23 13 45 00 1 4951.614
2022 02 23 13 30 00 1 4951.655
2022 02 23 13 15 00 1 4951.698
2022 02 23 13 00 00 1 4951.741
2022 02 23 12 45 00 1 4951.783
2022 02 23 12 30 00 1 4951.823
2022 02 23 12 15 00 1 4951.864
